Lemur Species,Number of Sources
Allocebus trichotis,1
Avahi laniger,3
Avahi meridionalis,1
Avahi occidentalis,4
Avahi peyrierasi,2
Cheirogaleus crossleyi,1
Cheirogaleus major,8
Cheirogaleus medius,9
Daubentonia madagascariensis,13
Eulemur albifrons,3
Eulemur cinereiceps,3
Eulemur collaris,4
Eulemur coronatus,8
Eulemur flavifrons,1
Eulemur fulvus,10
Eulemur macaco,10
Eulemur mongoz,3
Eulemur rubriventer,12
Eulemur rufifrons,19
Eulemur rufus,1
Eulemur sanfordi,4
Hapalemur alaotrensis,2
Hapalemur aureus,4
Hapalemur griseus,10
Hapalemur meridionalis,3
Hapalemur occidentalis,1
Indri indri,7
Lemur catta,33
Lepilemur edwardsi,4
Lepilemur fleuretae,1
Lepilemur leucopus,3
Lepilemur mustelinus,2
Lepilemur petteri,1
Lepilemur ruficaudatus,5
Lepilemur sahamalazensis,1
Lepilemur septentrionalis,1
Microcebus berthae,1
Microcebus griseorufus,7
Microcebus lehilahytsara,2
Microcebus murinus,16
Microcebus ravelobensis,5
Microcebus rufus,2
Mirza coquereli,2
Mirza zaza,1
Phaner pallescens,7
Prolemur simus,9
Propithecus coquereli,4
Propithecus coronatus,2
Propithecus diadema,7
Propithecus edwardsi,11
Propithecus perrieri,1
Propithecus tattersalli,3
Propithecus verreauxi,19
Varecia rubra,4
Varecia variegata,14
Microcebus myoxinus,1
