Plant Genus,Number of Sources
Terminalia,63
Artabotrys,3
Erythroxylum,32
Antidesma,12
Uapaca,28
Garcinia,29
Rheedia,11
Harungana,18
Ravensara,20
Ocotea,32
Dichaetanthera,4
Memecylon,8
Pachytrophe,6
Oncostemum,30
Eugenia,33
Campylospermum,3
Pittosporum,10
Carallia,1
Canthium,30
Gaertnera,20
Allophylus,15
Plagioscyphus,10
Gambeya,10
Symphonia,26
Bosqueia,12
Vepris,12
Dombeya,12
Dichapetalum,17
Cynometra,16
Plectronia,2
Asteropeia,6
Apodytes,9
Intsia,4
Brexia,5
Noronhia,37
Tambourissa,16
Scolopia,15
Elaeodendron,2
Brochoneura,6
Dracaena,16
Bembiciopsis,2
Coffea,12
Blotia,4
Tina,11
Cinnamosma,10
Diospyros,45
Rhus,4
Homalium,10
Potameia,12
Leptolaena,5
Ludia,5
Beilschmiedia,10
Syzygium,28
Dicoryphe,1
Canarium,31
Hyperacanthus,6
Protorhus,21
Mystroxylon,9
Astrotrichilia,8
Cedrelopsis,22
Neobeguea,4
Anacolosa,8
Tarenna,16
Capurodendron,8
Nesogordonia,3
Dalbergia,17
Gardenia,4
Ixora,3
Rinorea,17
Ochrocarpos,6
Poupartia,27
Vitex,20
Psorospermum,10
Securinega,4
Rhopalocarpus,22
Apaloxylon,1
Ficus,76
Commiphora,30
Grewia,68
Rothmannia,22
Xylopia,16
Dioscorea,5
Paullinia,3
Alberta,6
Mascarenhasia,11
Clidemia,7
Ravenala,27
Mendoncia,13
Weinmannia,7
Lautembergia,1
Suregada,7
Aphloia,21
Cryptocarya,23
Anthocleista,10
Bambusa,7
Rubus,3
Prunus,3
Enterospermum,14
Tricalysia,10
Tinopsis,5
Vaccinium,6
Lantana,8
Dypsis,22
Burasaia,11
Olea,4
Sarcolaena,4
Mammea,25
Strongylodon,9
Plectaneia,8
Psidium,19
Psychotria,13
Bakerella,31
Eucalyptus,7
Ambavia,6
Monanthotaxis,10
Polyalthia,13
Carissa,10
Petchia,3
Ophiocolea,2
Dillenia,4
Croton,14
Malleastrum,11
Ouratea,1
Jasminum,3
Morinda,2
Macphersonia,22
Smilax,19
Mimusops,11
Mangifera,21
Litchi,4
Adansonia,12
Brachylaena,3
Hymenodictyon,2
Diporidium,5
Strychnos,31
Capuronia,3
Baseonema,3
Astrocassine,4
Phylloctenium,4
Clerodendrum,12
