"","species","Family.x","habitat","gn.lma","meanWD_biomass","sdWD_biomass","fruit_length_log_gn","fruit_width_log_gn","seed_length_log_gn","seed_width_log_gn","Invasive.x","Life_form.x","mIUCN","mEndemic","Invasive.y","Life_form.y","X","Genus","Family.y","BodyMass_J","BrainSize_J","GestationLength_J","LitterSize_J","InterbirthInterval_J","HomeRange_J","GroupSize_J","DietBreadth_O","Diet..fruits_O","Diet..flower.nectar.pollen.gums_O","Diet..seeds_O","Diet..other.plant.materials_O","HabitatBreadth_O","ActivityCycle_O","ForagingStratum_O","IUCN","Habitat"
"1","Abies","Pinaceae","Humid Forest",NA,0.365113636,0.09413391,NA,NA,NA,NA,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abrahamia","Anacardiaceae","Western dry forest",NA,0.566231537,0.123401724,5.42405969514286,2.67197398378571,2.9337678517,2.38708854518182,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abrus","Fabaceae","Humid Forest",37.237060695,0.703821066,0.123401724,6.099058288,2.48153802633333,1.768811445,1.3599893855,"no","herb_liana",1,1,"no","herb_liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abutilon","Malvaceae","South western coastal bushland, South western dry spiny forest-thicket, Cultivation",NA,0.488731536,0.123401724,NA,NA,NA,NA,"no","herb",1,1,"no","herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acacia","Fabaceae","South western dry spiny forest-thicket",NA,0.78783128,0.09413391,5.53616570022222,2.557856474125,2.031368767375,1.379068476375,"no","",1,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Acalypha","Euphorbiaceae","South western dry spiny forest-thicket",NA,0.3,0.09413391,5.8330688925,1.18666743725,0.8650912568,0.466238960333333,"no","shrub_sub_shrub",1,1,"no","shrub_sub_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Achyranthes","Amaranthaceae","South western dry spiny forest-thicket",NA,0.48,0.123401724,NA,NA,NA,NA,"yes","herb",NA,NA,"yes","herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Achyrocalyx","Acanthaceae","South western coastal bushland, South western dry spiny forest-thicket, Cultivation",NA,0.567558333,0.123401724,NA,NA,NA,NA,"no","shrub",NA,NA,"no","shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Adansonia","Malvaceae","Western dry forest",NA,0.276,0.09413391,5.7196863645,4.6108844325,2.59104088766667,2.38254441316667,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Adenanthera","Fabaceae","Humid Forest",NA,0.7374,0.09413391,5.552959585,2.708050201,2.251291799,1.945910149,"no","tree",NA,NA,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Adenia","Passifloraceae","Western dry forest",NA,0.675,0.123401724,5.75624945847368,3.31868878894737,1.89572515,1.64543163988235,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aerva","Amaranthaceae","South western dry spiny forest-thicket",NA,0.48,0.123401724,NA,NA,NA,NA,"no","shrub",NA,NA,"no","shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Aframomum","Zingiberaceae","Humid Forest",NA,0.616117958,0.134285401,NA,NA,NA,NA,"no","herb",NA,NA,"no","herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Afzelia","Fabaceae","Humid Forest",NA,0.669883983,0.09413391,NA,NA,NA,NA,"no","tree",2,0,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Agave","Asparagaceae","South western dry spiny forest-thicket",NA,0.41825,0.123401724,NA,NA,NA,NA,"yes","shrub_leaf_succulent",NA,NA,"yes","shrub_leaf_succulent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Agelaea","Connaraceae","Humid Forest",NA,0.5,0.123401724,NA,NA,2.079441542,1.386294361,"no","liana",NA,NA,"no","liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alafia","Apocynaceae","Western dry forest",NA,0.592856179,0.123401724,5.7447865762,1.7634595564,2.8482732712,1.1294424248,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alantsilodendron","Fabaceae","South western dry spiny forest-thicket",NA,0.703821066,0.123401724,6.041388731,1.61553051666667,1.61301263416667,1.1134653235,"no","",2,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alberta","Rubiaceae","Humid Forest",NA,0.637368868,0.123401724,NA,NA,NA,NA,"no","shrub_tree",1,1,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Albizia","Fabaceae","Humid Forest, Cultivation, Mangroves",11.9477771466667,0.556356916,0.09413391,4.79231195478261,3.20171753422727,2.37223589030435,1.82440998509091,"no","",1,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alchornea","Euphorbiaceae","South western dry spiny forest-thicket",NA,0.408433333,0.09413391,NA,NA,1.609437912,NA,"no","",3,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Allaeanthus","Moraceae","Western dry forest",NA,0.566926179,0.123401724,NA,NA,NA,NA,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Allocebus_trichotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Allocebus","Cheirogaleidae",77.5,NA,60.83,1,365,NA,1,3,"yes","yes","no","yes",1,2,3,"EN","Wet"
"24","Allophylus","Sapindaceae","Humid Forest",14.5815130061333,0.51775,0.09413391,5.8416307627,1.70541759233333,1.840045474,1.5580892135,"no","shrub",NA,1,"no","shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Alluaudia","Didiereaceae","South western dry spiny forest-thicket",NA,0.3828,0.09413391,5.52180259675,0.651456376,NA,NA,"no","shrub_tree",NA,NA,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Aloe","Asphodelaceae","South western dry spiny forest-thicket",NA,0.395,0.123401724,5.16689950926923,2.22401258395238,1.59727387110526,0.9486186485625,"no","leaf_succulent_shrub",1,1,"no","leaf_succulent_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Aloe","Asphodelaceae","South western dry spiny forest-thicket",NA,0.395,0.123401724,5.16689950926923,2.22401258395238,1.59727387110526,0.9486186485625,"no","leaf_succulent_shrub",3,1,"no","leaf_succulent_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Aloe","Asphodelaceae","South western dry spiny forest-thicket",NA,0.395,0.123401724,5.16689950926923,2.22401258395238,1.59727387110526,0.9486186485625,"no","leaf_succulent_shrub",4,1,"no","leaf_succulent_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Amaranthus","Amaranthaceae","South western dry spiny forest-thicket",NA,0.48,0.123401724,NA,NA,NA,NA,"yes","herb",NA,NA,"yes","herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ambavia","Annonaceae","Humid Forest",12.6438204412857,0.565580531,0.123401724,5.220355825,2.8297411075,2.8229707375,2.3630297515,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ampelocissus","Vitaceae","Western dry forest",NA,0.554,0.123401724,4.094344562,2.163323026,1.871802177,1.360976553,"no","liana",NA,1,"no","liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Ampelosycios","Cucurbitaceae","Humid Forest",NA,0.616117958,0.134285401,NA,NA,NA,NA,"no","herb_vine",NA,NA,"no","herb_vine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Amyrea","Euphorbiaceae","Humid Forest",NA,0.543103218,0.123401724,4.2231432438,2.1383423862,1.9659128165,1.8253291205,"no","shrub_tree",1,0,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Anacardium","Anacardiaceae","Western dry forest/Humid Forest",11.510905932,0.454380952,0.09413391,NA,NA,NA,NA,"no","shrub_tree",NA,0,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Anacolosa","Olacaceae","Western dry forest",NA,0.742428289,0.123401724,5.767783598,2.5524269845,2.5226149695,2.4575025315,"no","shrub_tree",1,1,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Ananas","Bromeliaceae","Humid Forest, Cultivation, Mangroves",NA,0.616117958,0.134285401,NA,NA,NA,NA,"no","herb_shrub",NA,NA,"no","herb_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Androya","Scrophulariaceae","South western dry spiny forest-thicket",NA,0.69275,0.123401724,5.924255797,0.693147181,-0.916290732,-1.609437912,"no","tree",2,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Angraecum","Orchidaceae","Humid Forest",NA,0.616117958,0.134285401,4.90387473333333,1.83710012355556,0,NA,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Anisocycla","Menispermaceae","Western dry forest",NA,0.545,0.123401724,5.111987788,2.76000994,2.6565044575,2.3628081695,"no","liana",NA,1,"no","liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Anisophyllea","Anisophylleaceae","Humid Forest",NA,0.730714286,0.09413391,5.51450764525,2.8866326095,2.850706502,2.617395833,"no","tree",4,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Annona","Annonaceae","Humid Forest, Cultivation, Mangroves",20.2267376,0.518777778,0.09413391,NA,NA,NA,NA,"no","tree",1,0,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Anthocleista","Gentianaceae","Humid Forest",NA,0.537777778,0.09413391,5.72467320666667,2.9308629765,1.10521316466667,1.609437912,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Anthocleista","Gentianaceae","Humid Forest",NA,0.537777778,0.09413391,5.72467320666667,2.9308629765,1.10521316466667,1.609437912,"no","tree",3,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Anthostema","Euphorbiaceae","Littoral forest",NA,0.40875,0.09413391,NA,NA,NA,NA,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Antiaris","Moraceae","Humid Forest",NA,0.381526316,0.09413391,5.895454461,3.50383749333333,3.372618175,3.342305864,"no","",1,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Antidesma","Phyllanthaceae","Humid Forest, Cultivation, Mangroves",NA,0.657533333,0.09413391,NA,NA,NA,NA,"no","shrub_tree",1,1,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Antirhea","Rubiaceae","Humid Forest",NA,0.637368868,0.123401724,6.222576268,1.252762968,NA,NA,"no","tree",1,0,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Apaloxylon","Fabaceae","Western dry forest",NA,0.703821066,0.123401724,NA,NA,NA,NA,"no","tree",1,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Aphloia","Aphloiaceae","Humid Forest",11.8136134407,0.6205,0.09413391,NA,NA,NA,NA,"no","shrub_tree",1,0,"no","shrub_tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Apodytes","Metteniusaceae","Littoral forest",6.86755921828571,0.6,0.123401724,5.5448569075,3.122180528,3.328626689,3.161246712,"no","tree",4,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Arachis","Fabaceae","Western dry forest, Humid Forest",NA,0.703821066,0.123401724,NA,NA,NA,NA,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Ardisia","Primulaceae","Western dry forest, Humid Forest",NA,0.590928571,0.09413391,4.369447852,2.602689685,1.871802177,1.871802177,"no","tree",4,1,"no","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Argemone","Papaveraceae","South western dry spiny forest-thicket",NA,0.616117958,0.134285401,NA,NA,NA,NA,"yes","herb",NA,NA,"yes","herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Argyreia","Convolvulaceae","Wetlands",NA,0.7915,0.123401724,3.610917913,2.351375257,1.458615023,1.30833282,"no","",NA,NA,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
